wine,color,acidity,body,tannin,tasting_notes,food_pairings,,,,,,,,,
Feteasca Neagra,1,2,2.5,2.5,prune  /  cassis  /  cinnamon,grilled meat  /  stew  /  soup,,,,,,,,,
Gamay,4,2,1.5,2,cherry  /  raspberry  /  banana,cheese  /  fruit  /  salad,,,,,,,,,
Garnacha,3,2.5,2.5,2.5,cassis  /  cherry  /  coffee,grilled meat  /  stew  /  cheese,,,,,,,,,
Malbec,1.5,2.5,2.5,2.5,cherry  /  blueberry  /  cocoa,steak  /  pasta  /  pizza,,,,,,,,,
Marselan,3,2,2,2,plum  /  raspberry  /  black pepper,pizza  /  pasta  /  burger,,,,,,,,,
Mavrud,1,2.5,3,3,plum  /  cassis  /  black pepper,lamb  /  stew  /  chili,,,,,,,,,
Meritage,3,2.5,2.5,2.5,blackberry  /  plum   /  chocolate,steak  /  chicken  /  pork,,,,,,,,,
Merlot,1.5,2,2,2,cherry  /  blueberry  /  vanilla,tacos  /  curry  /  burger,,,,,,,,,
Mission,3,2,1.5,2,strawberry  /  plum  /  raspberry,cheese  /  pork  /  olives,,,,,,,,,
Monastrell,3,2.5,2.5,3,blackberry  /  raspberry  /  vanilla,pork  /  chinese food  /  ribs,,,,,,,,,
Montepulciano,4.5,1,2,2,plum  /  raspberry  /  licorice,tacos  /  pizza  /  pasta,,,,,,,,,
Nebbiolo,5,3,3,3,raspberry  /  chocolate  /  violet,truffles  /  pasta  /  mushroom,,,,,,,,,
Nero d'Avola,4.5,2.5,3,2.5,cherry  /  chocolate  /  dried herbs,olives  /  lamb  /  tuna,,,,,,,,,
Okuzgozu,3,2.5,1.5,1.5,cherry  /  lavendar  /  green bell pepper,chicken  /  pasta  /  kebabs,,,,,,,,,
Petit Verdot,2,2,3,3,blackberry  /  blueberry  /  violet,steak  /  sausage  /  cheese,,,,,,,,,
Petite Sirah,1,2,3,3,plum  /  blueberry  /  black pepper,burger  /  chicken  /  cheese,,,,,,,,,
Pinot Noir,4,2.5,2,1.5,cherry  /  orange  /  chocolate,duck  /  tuna  /  lobster,,,,,,,,,
Pinotage,4,1.5,3,3,blackberry  /  banana  /  coffee,grilled meat  /  grilled vegetables  /  burger,,,,,,,,,
Plavac Mali,4,1.5,3,3,plum  /  cherry  /  cassis,beef  /  lamb  /  pork,,,,,,,,,
Port,4.5,2,2.5,2,cherry  /  cassis  /  nuts,cheese  /  nuts  /  ice cream,,,,,,,,,
Rhone Valley,2.5,2,2.5,2.5,cherry  /  blueberry  /  black pepper,steak  /  pork  /  cheese,,,,,,,,,
Rioja,4,1.5,2.5,2.5,cherry  /  strawberry  /  pomegranate,steak  /  pork  /  pasta,,,,,,,,,
Sangiovese,5,2.5,2,3,cherry  /  cranberry  /  rose,olives  /  pasta  /  burger,,,,,,,,,
Saperavi,2,3,3,3,blackberry  /  coffee  /  chocolate,sausage  /  stew  /  chili,,,,,,,,,
Super Tuscan,3,2.5,2.5,2.5,cherry  /  raspberry  /  licorice,steak  /  pasta  /  cheese,,,,,,,,,
Syrah,5,2.5,2.5,2.5,cherry  /  blueberry  /  cassis,chinese food  /  chicken  /  kebabs,,,,,,,,,
Tannat,2,3,3,3,plum  /  raspberry  /  cherry,sausage  /  kebabs  /  cheese,,,,,,,,,
Tempranillo,4,1.5,2.5,2.5,blackberry  /  cherry  /  pomegranate,steak  /  pasta  /  pork,,,,,,,,,
Teran,2.5,2.5,2.5,3,cherry  /  raspberry  /  green bell pepper,pasta  /  pork  /  pizza,,,,,,,,,
Touriga Nacional,4,2.5,3,3,blackberry  /  blueberry  /  dried herbs,lamb  /  stew  /  sausage,,,,,,,,,
Xinomavro,2,3,3,3,raspberry  /  plum  /  dried herbs,lamb  /  beef  /  pork,,,,,,,,,
Zinfandel,1,3,3,2,raspberry  /  blackberry  /  licorice,burger  /  pizza  /  pork,,,,,,,,,
Zweigelt,2,2,2,1.5,cherry  /  violet  /  cinnamon,pork  /  sausage  /  burger,,,,,,,,,
